model,organization,wave,policybench_within_dollar,policybench_tax_within_dollar,mean_abs_center_labor_tax,mean_abs_center_macro_trade,avg_width_rank,eti_median,tau_star_pct,tau_revmax_pct
gpt-5.4,openai,april_2026,,,0.41055555555555556,1.2666666666666666,12.846153846153847,0.42000000000000004,35.917233119275096,59.496859886439026
gpt-5.4-mini,openai,april_2026,70.456,72.8571,0.40633333333333327,1.241111111111111,20.076923076923077,0.4366533864541833,35.02721243257642,58.55645102783263
gpt-5.4-nano,openai,april_2026,62.2522,67.4286,0.31344444444444447,1.2555555555555555,16.46153846153846,0.5459125859975718,30.129002106401323,53.05468794437034
claude-opus-4.7,anthropic,april_2026,77.3715,78.5714,0.39444444444444443,0.8777777777777778,7.846153846153846,0.4,37.0477681133017,60.666956184828244
claude-sonnet-4.6,anthropic,april_2026,77.0991,78.7143,0.42777777777777776,1.16,11.423076923076923,0.5,32.010013613990886,55.235504853444134
claude-haiku-4.5,anthropic,april_2026,71.7314,72.8571,0.3685555555555555,0.8811111111111112,8.076923076923077,0.5021129908367423,31.91830452538964,55.13121097162282
gemini-3.1-pro-preview,google,april_2026,77.8694,76.4286,0.3714444444444444,1.2699999999999998,9.307692307692308,0.35079365079365077,40.15762423465081,63.75163563771059
gemini-3-flash-preview,google,april_2026,76.8684,75.2857,0.38166666666666665,0.9400000000000001,10.923076923076923,0.4,37.0477681133017,60.666956184828244
gemini-3.1-flash-lite-preview,google,april_2026,76.078,74.1429,0.36722222222222217,1.1644444444444444,11.846153846153847,0.38888888888888895,37.7071427788571,61.337116038337186
grok-4.20,xai,april_2026,,,0.3622222222222222,1.2566666666666666,20.384615384615383,0.5,32.010013613990886,55.235504853444134
grok-4.1-fast,xai,april_2026,,,0.32666666666666666,0.9066666666666666,16.46153846153846,0.4,37.0477681133017,60.666956184828244
gpt-5.5,openai,july_2026_frontier,83.5161,82.8571,0.3283888888888889,1.1211111111111112,12.692307692307692,0.36886792452830186,38.95647327832698,62.582802401693534
claude-fable-5,anthropic,july_2026_frontier,79.8953,78.8571,0.3758888888888889,1.041111111111111,5.923076923076923,0.43666666666666665,35.02652028821453,58.5557129631861
claude-opus-4.8,anthropic,july_2026_frontier,72.5673,78.2857,0.39088888888888884,1.1666666666666667,9.26923076923077,0.3833333333333334,38.04571078309831,61.677779011614206
claude-sonnet-5,anthropic,july_2026_frontier,69.4073,75.0,0.367,1.4333333333333333,8.307692307692308,0.47115384615384615,33.31686747918368,56.69981559577945
gemini-3.5-flash,google,july_2026_frontier,76.1788,74.1429,0.21794444444444447,1.1533333333333333,11.384615384615385,0.35662729658792647,39.76192558606843,63.369640364463606
grok-4.3,xai,july_2026_frontier,77.2268,77.4286,0.37022222222222223,1.5088888888888887,15.76923076923077,0.4385964912280702,34.926230749463606,58.44865795102288
deepseek-v4-pro,deepseek,july_2026_independent,76.0627,74.5714,0.3116666666666667,0.9988888888888888,17.153846153846153,0.47918781725888326,32.94229371709043,56.28424566065077
qwen-3.7-max,alibaba,july_2026_independent,73.6417,72.5714,0.4288888888888889,0.8844444444444445,17.46153846153846,0.5554385704329148,29.766086663996035,52.62360623408087
kimi-k2.6,moonshot,july_2026_independent,64.5789,53.1429,0.32366666666666666,1.11,19.53846153846154,0.4986111111111111,32.070582460237084,55.304273405623285
glm-5.2,zhipu,july_2026_independent,73.0555,71.0,0.3698888888888889,1.1022222222222222,17.846153846153847,0.4948717948717949,32.23479755728066,55.4902734768014
minimax-m3,minimax,july_2026_independent,72.3508,73.2857,0.2998888888888889,1.0377777777777777,16.153846153846153,0.4383895131086142,34.93695952980022,58.46012110298955
gpt-5.6-sol,openai,july_2026_gpt56,88.6505,87.2857,0.33855555555555555,1.1066666666666667,14.76923076923077,0.43096774193548393,35.32607377429325,58.87415636153819
gpt-5.6-luna,openai,july_2026_gpt56,84.4549,82.0,0.3183333333333333,1.291111111111111,22.615384615384617,0.37735849056603776,38.416682786760106,62.04840098170065
gpt-5.6-terra,openai,july_2026_gpt56,83.4144,81.5714,0.36133333333333334,1.0555555555555556,11.76923076923077,0.4918181818181818,32.37015208298943,55.643096052143946
grok-4.5,xai,july_2026_late,80.9168,79.2857,0.3874444444444445,1.3444444444444443,15.615384615384615,0.410204081632653,36.46221258730725,60.06427486973191
kimi-k3,moonshot,july_2026_late,86.2254,83.7143,0.3567777777777778,1.2155555555555555,16.076923076923077,0.37142857142857144,38.792088506913515,62.420666771320086
